http://www.nytimes.com/2015/12/06/arts/music/u2-preaching-defiance-heads-back-to-paris.html
		u2 , preaching defiance , heads back to paris 
671559674081255424	Peter_Durante	rt china bracing for temperature rises of 3 c , more floods , droughts , and rising seas . nice synopsis from … 

http://www.nytimes.com/2015/12/02/us/receding-waters-in-california-expose-artifacts-to-plunder.html
671858662978273281	reFLIPd	" receding waters in california expose artifacts to plunder " 
671889796013285377	NaiJaffer	another byproduct of california's drought — receding waters in expose artifacts to plundering 
671879275423862784	mitchbetts	receding waters in calif . expose native american artifacts & archaeological sites to looters : 
671861875664121856	USAToday24h	receding waters in expose artifacts to plundering : archaeological sites that have rested in peace ... 

http://www.nytimes.com/2015/12/02/arts/television/mother-televisions-favorite-role.html
672024101725204480	mideasteye	mother : television's favorite role 
671843346390863872	NYT	mother : television’s favorite role . 
672006482007846912	jenleedotnet	rt in article feat . the amazing on no les … 
671958615016603649	ArtsAlertz	mother : favorite role 
671913435341320195	danlevy	cool article & crazy coincidence mentioning episode of & rt : 
671898053817835520	seankenin	in article feat . the amazing on no less . 

http://timesmachine.nytimes.com/timesmachine/1958/12/07/93611673.html

http://www.nytimes.com/2015/12/01/nyregion/family-of-robert-dursts-first-wife-sues-him-for-100-million-in-her-disappearance.html
671646491186880512	mollylambert	speaking of murderers , good morning ! 
671522681238380544	karmanfinancial	family of robert durst’s first wife sues him for $100 million in her disappearance 
671799836543475713	irismagazineuva	real estate heir robert durst sued for his wife's disappearance ... is he guilty or innocent ? 
671734334445895680	ledaka	justice is definitely blind ! family of robert durst’s wife sues him for $100 million in her disappearance 
671626346045579264	chiaralalli	“ i am convinced that there’s no reason i shouldn’t say anything i want to anyone i want ” . 
671597183745974272	lyndsey_hewitt	such an insane story : family of first wife sues him for $100 million in her disappearance 
671550589361197056	Ursalette	one of the strangest stories , all true . family of robert durst’s 1st wife sues him for $100m in her disappearance 
671530224807337984	emmaemily45	family of robert durst’s first wife sues him for $100 million in her … track submission 
671527916082188289	US_Business	family of robert durst’s first wife sues him for $100 million in her disappearan - nytimes 
671498748749594624	SocialInNewYork	family of robert durst's first wife sues him for $100 million in her disappearance 
671491009751085057	ginaatming	dating single family of robert durst’s first wife sues him for $100 million in her disa ... 
671483054561562624	Keshalovebaby	kesha likes " family of robert durst’s first wife sues him for $100 million in her disappear … 
671480695722745856	SteveKaplanpa	the mother and three sisters of kathleen durst , who disappeared decades ago , are employing a rarely cited law to p … 

http://well.blogs.nytimes.com/2015/12/01/ask-well-the-laxative-effect-of-prunes/
672019490993934336	PrimaPerform	ask well : the effect of ' 
671718570527715330	herestheloop	ask well : the laxative effect of prunes 
671942987476303872	MindBodyKL	ever had your mom or some female relative tell you to reach out for some prunes to help you to pay more frequent ... 
671798984655167491	Sammikeehan	the laxative effect of prunes via 
671802947131604993	JohnCChatham	what gives prune juice , prunes and plums a laxative effect ? via 
671797832358096896	AmykRd	why do prunes make us poop ?? 
671763622075437056	EpicMedClinic	ever wonder why prunes works so well for 
671763255921127425	AlannaCabrero	ask well : the laxative effect of and 
671759653420843009	Brainiaco55	it might be the the sugar alcohol .. sorbitol . 
671682695202603009	OrganicFoodGal	both prunes and prune juice have a laxative effect that is not entirely understood , but may ... 
671699444346191872	AnieszCllue	both prunes and prune juice have a laxative effect that is not entirely understood , but may … 
671688414660464642	whatpennymade	in case you ever wondered : the laxative effect of prunes 

http://www.nytimes.com/politics/first-draft/2015/12/02/donald-trump-and-hillary-clinton-endure-as-ben-carson-recedes-poll-says/
672014986970079232	NgullenR	" donald trump and hillary clinton endure as ben carson recedes , poll says . 
672030772711333888	MassoudMaalouf	donald trump ( not presidential ) and hillary clinton ( not very honest ) endure as ben carson recedes , poll says - 
672026526691364864	RaymondArroyo	national poll shows the leading candidates , donald trump and hillary clinton , solidifying their positions 
672030693338279936	patrickdmarley	. and endure as recedes , poll says , via 
672029564147601408	PerchaChamakiT	first draft : donald trump and hillary clinton endure as ben carson recedes , po ... unete a 
672021709587812352	Vadersleash	donald trump and hillary clinton solidify dominance in recent national polls 
672010934513192960	AmericaIsDoomed	news " donald trump and hillary clinton endure as ben carson recedes , poll … 

http://www.nytimes.com/2015/12/06/books/review/100-notable-books-of-2015.html
671784742375804929	LindseyHall17	!!!!! !!!! 100 notable books of 2015 
672019061795090432	msuarez65	literature / 100 notable books of 2015 
672016289511170049	GabsterlovesGod	rt 100 notable books of 2015 
671994771326509057	AIGtuiteando	100 notable books of 2015 - the new york times 
671986439156994048	RockDocInLV	rt guantanamo diary , by our client mohamedou slahi , is one of the nyt's 100 notable books of 2015 ! paperback … 
671850038503464960	PenguinUKBooks	take a peek at this year’s notable fiction , poetry and nonfiction , selected by the editors of 
671953952510881792	Bibli_be_Us	rt the shares its 100 notable books of the year : 
671866181855272960	birdcomm	basically , this is our christmas shopping list : 
671864057142632448	JessicaFKane	congrats to my dear friend , i've known for years she was notable , & now the new york times agrees . 
671851011364028416	loveunleashed	mt take a peek at this year’s notable fiction , poetry and nonfiction , from 
671834740673003520	eusko4	rt have a look ! 100 notable books from 2015 , compiled by . 
671830120466915329	jandresblu	100 notable of 2015 
671825903035510784	Storiarts	haven't read any of nyt's notable books . maybe becuase we're reading notable books of 1813 :) 
671823733544325120	Hanigsberg	on my list ! mt " jonas salk : a life " by c . decroes jacobs 100 notable books of ' 15 : 
671809928613502977	MabzBeet	rt upcoming guest named one of the 100 notable books of the year . … 
671806671883272196	MelissaRoske	congrats to on making the 100 notable books list ! 
671805928602234881	TheCoffeeKlatch	upcoming guest named one of the 100 notable books of the year . < outstanding ! 
671781154777862146	Harvard_History	congrats to - new york times just named empire of cotton among the top 100 books of 2015 
671770654950219776	LibrettoBoston	here are 100 books that came out in 2015 and are particularly worthy of your time . → 

http://www.nytimes.com/2015/12/01/world/asia/china-aids-sexual-transmission.html
671711748404195328	beckyochs	rise in h.i.v. among china’s youth draws attention for 
671860864668975104	dktatlow	45,000 new h.i.v. infections per year in u.s. china : 90,000 - 100,000 : 
671774873203642368	NTYoung	rise in among china’s youth draws attention for 
671750613156372480	ACCESSHI	on the rise among in 
671711844227239936	syrdevine10	china's draws some attention to 
671677147606589440	TSSlaughter	fascinating !! who knew about all the gay men ? " rise in h.i.v. among chinas youth draws attention to world aids day " 
671671466509926400	Racoon2013	rise in h.i.v. among chinese youth raises alarms ahead of world aids day 
671521684718006272	christopheryuan	sharp rise in hiv infections among young gay men in china draws attention for world aids day 
671619119989415936	healthscopeasia	did you know as of october 2015 , china had about 575,000 people living with h . i . v . /aids ? 
671582094859100164	meriemasahli	rise in h.i.v. among youth draws attention for 
671601299939573760	lauraplacide	rise in among youth draws attention 
671397294638403584	ChinaNews24x7	rise in hiv among china's youth draws attention for world aids day - new york times 
671557250909995008	AshleyMCastillo	keep in mind those who have left us and are living with hiv/aids . china's numbers are increasing . 
671496903385714688	dbvalentine	" about 575,000 people living with hiv/aids " - rise in hiv among china’s youth draws attention world aids day 
671444064353431552	WorldHealthNews	sexual transmission accounts for more than 92 percent of all new infections , more in line with international norms ,… 
671432996071858176	nicolegoldin	rise in h.i.v. among draws attention ahead of via 
671416174345887746	vrai777	✍ rise in h.i.v. among china’s youth draws attention on world aids day 
671399635836084224	christopheryuan	rise in hiv among china’s youth draws attention for world aids day 

http://www.nytimes.com/2015/12/01/nyregion/new-york-today-the-verdict-is-in.html
671762196473466880	BrantrixCom	new york today : the verdict is in - 
671697078460919808	KarlaWSimon	well , we knew it , didn't we ?! 
671691852748337152	BenWeiserNYT	nyt's sue craig on whether the silver corruptoin verdict could change albany's culture 

http://www.nytimes.com/2015/12/01/science/yawning-and-the-tears-that-follow.html
671385723816185856	freeUnnamedNews	yawning and the tears that follow - - 
671899436298076160	dhruvsverma	rt " yawning and the tears that follow " by c . claiborne ray via nyt 
671823705140568064	melanieCgallo	and the that follow - the new york times 
671811778993631232	BradA1878	" yawning and the tears that follow " by c . claiborne ray via nyt science 
671743534018465792	adrientaneguy2	top story : yawning and the tears that follow see more 

http://www.nytimes.com/2015/12/02/us/politics/as-obama-pushes-climate-deal-republicans-move-to-block-emissions-rules.html
671879597093441540	samuelldrew	" votes in congress move to undercut climate pledge " 
672024623362494464	PHILOSroams	transcending politics 
672008123503259648	PINOROMBI	undercuting climate pledge 
672005599140454400	mhansen29138123	gop waits until the international climate summit to say , " what the country needs now is to burn more coal ! " 
671994068906303488	ChanceAustin	these are the same people that probably trashed the dixie chicks = traitors of the worst kind- would try to make ... 
671972837402505216	susanwoolner	as obama pushes climate deal , republicans move to block emissions rules 
671952404741496832	JSto	journalist was probably laughing and crying as he published that 
671912514444247040	JABSND	votes in move to undercut pledge 
671929718464229376	simon_q_public	i am so sick of these assholes ! if you vote gop and you think this is good governance , you suck too . 
671927016841605120	SentientHunter	votes in [ pathetic ] congress move to undercut climate pledge 
671915026882551808	earthartbi	these people do not get it ! we are in a climate emergency . 
671910620501966848	cbinflux	votes in congress rightly move to undercut obama's lawless climate pledge 
671900949628219392	okerlund61	. you should for your family and mine . congress moves to undercut climate pledge 
671900464548610049	okerlund61	. do you have kids ? you should care and change . congress moves to undercut climate pledge 
671889835271983104	mikerol69	the pooplikans are at it again ! 
671886300195119104	NikitaKitty	rt obama in paris pushes a climate deal as republicans in washington move to undercut him 
671884457280978944	NikitaKitty	rt congress votes in washington undercut obama's climate change pledge in paris 
671878811840069632	GreenGregDennis	deniers votes in congress to undercut climate pledge , via 

http://www.nytimes.com/aponline/2015/11/30/us/ap-us-juneau-mayor-death.html
671575277948940288	TrevorABranch	greg fisk , fisheries consultant and new mayor of anchorage , found dead in his residence . 
671577975259832322	nven2	newly-elected mayor of alaska's capital is found dead 
671643895323893761	iCaM_G	in other news ,,,,, 
671618512515764224	nippynews	new york times - usa - newly elected mayor of alaska capital is found dead - 
671580524100587520	wasabinoir1	newly-elected mayor of alaska's capital is found dead 

http://www.nytimes.com/2015/12/02/arts/television/david-letterman-even-retired-keeps-on-interviewing.html
672031112949014528	glguray	theme of the week : facial hair . first paul ryan : then david letterman : 
671821342073708548	ArtsAlertz	david letterman , even retired , keeps on interviewing 
672007464561283073	tgoldenberg	in other news , in retirement , has become santa claus . 
671982550173093890	ferolhumphrey	nytimes , kathy jesse ~ a thoughtful article on david letterman and his priorities these days . talks to spike ... 
671872608594456576	WNHastings	beard ! 
671916176834973696	torchlakegirl	let your freak flag fly . david letterman , retired , keeps on interviewing 
671901658134147072	jonscott81	it was fantastic , and some of it is here : " letterman , retired , keeps on interviewing " 
671900988328906753	jonscott81	re : " letterman , even retired , keeps on interviewing " 
671894068406956032	Gluonsrule	the nyt article about dave at ball state 
671887877576503296	roricmcc	david letterman's beard tho 
671866807603478528	1andOnlyGD	i think david letterman helped us reach 
671853223234416641	jcburns	attn copy desk . the caption on the 3rd pic here refers to a " mr. bennett . " ? 
671849731132424192	leoberto	mr jonze described his struggles w warner “ i didn’t fully understand how nervous people are when they give you $80m " 
671837567596240900	elesscom	forget 2016 campaign . we need a campaign : letterman , even retired , keeps on interviewing 
671823331901972480	Pattonjb	good to see the king at it ! 
671811014267035649	MorningWXGuy	the ' david letterman experience ' is coming to 
671781854970703872	adambvary	letterman gets bennett miller to say what many men in h'wood secretly feel re : hiring women 
671785226817916928	urielheilman	you'll never believe what has happened to david face : he's santa claus ! 
671783006504374272	corybarker	david letterman is doing better interviews at mac schools than anyone else is on tv 
671775952171638784	MarikaS	“ if you can call sitting behind a desk and pretending to talk to actors an ‘ experience " , david letterman 

http://www.nytimes.com/2015/12/04/fashion/mens-style/how-to-cook-american.html
671962160608579584	ipshita_n	how to cook american 
671963247273246720	whenbutterflyes	" how to cook american " via 
671858052467855360	HelensBling	nytfashionandstyle : mr. food editor finds a classic american dish , weighs in on cooking shows ,... 
671827912744689666	TDKofGC	brooklyn in the building via nyt 

http://www.nytimes.com/2015/12/03/nyregion/new-jersey-muslims-feel-sense-of-betrayal-by-christie.html
672019816635592705	AlanGunzburg	new jersey muslims feel sense of betrayal by 
672019955945205760	FilmPopCulture	local muslims who saw gov . chris christie as an unexpected champion are now feeling betrayed 
672027358052904960	Josh1938	chris christie is full of shit ? nfw ! 
		gov . chris christie , once hailed as a defender of local muslims against prejudice , now opposes resettling syrian refugees in this country . 

http://www.nytimes.com/2015/12/02/us/student-protesters-self-absorbed-and-narcissistic-oklahoma-college-president-says.html
671861214276907008	NYT	student protesters self-absorbed and narcissistic , oklahoma college president says . 
671960856817754112	PolProfSteve	university setting not a “ safe place ” but a place “ to learn that life isn’t about you , but about others . ” 
671964341529280512	posed2_	student protesters self-absorbed , narcissistic oklahoma college pres sez . this is not a day care . it’s a university " 
671880469315723264	godefroy_lauzon	college presidents self-absorbed and narcissistic 
671861223424585728	DailyABCs	student protesters self-absorbed and narcissistic , oklahoma … 
671860485147467777	USAToday24h	student protesters self-absorbed and narcissistic , college president says : everett piper of ... 

http://www.nytimes.com/2015/12/01/world/europe/how-the-paris-attackers-honed-their-assault-through-trial-and-error.html
672017432689713152	eelcobvr	" abaaoud was in the database of every european country , but he returned to europe like he was going to club med " 
671894082227015681	venkatananth	how the paris attackers honed their assault through trial and error . 
672019967798218754	TomKattman	in contrast , this nyt story * wasn't * headlined " for abdelhamid abaaoud , religion and rage before paris attack " 
671997790340403200	Kirst3nF	" abaaoud was in the database of every single european country " 
671963097859416065	Fergal_Davis	rt “ they try , they fail , they learn , they try again ” - important insights from team on the attackers https :/ … 
671955113901182976	hubalfonsi	rt riveting and horrifying inside look at how the paris plot unfolded , by & co . … 
671892265128878083	alykatzz	so awful to learn that officials knew paris music venues were targets , with concert-goers oblivious . 
671889489879371776	cmeyth	the best article i have read so far on how the paris attacks were planned via 
671879855563218944	Xgirrl	how the honed their assault through trial and error . 
671876216522084352	gaultin	rt how the attackers honed their assault through trial and error 
671865491883888641	ustagunduz	nyt > orta doğu : state of terror : how the paris attackers honed their assault through trial and erro ... 

http://www.nytimes.com/2015/12/01/nyregion/as-trial-began-a-humble-assemblyman-didnt-appear-guilty-to-several-jurors.html
671553027711483905	actualnewsinfo	as trial began , a ‘ humble ’ assemblyman didn’t appear guilty to several jurors 
671862082363617280	JessicaDiva	as trial began , a & assemblyman didn & appear guilty to several jurors 
671554650399768577	mikiebarb	a detailed reconstruction of how jury found silver guilty that will restore any wavering faith in jury system : 
671794920773042177	johnrodat	ironic : lack of financial disclosure sealed guilty verdict : assemblyman didn’t appear guilty to several jurors 
671744136291196928	PatrickFGleason	" twelve angry men " style decision-making process focused on politician silver as a lawyer " who should know better " 
671743531128590340	LivoBrietti	as trial began , a \'humble\' assemblyman didn\'t appear guilty to several jurors - ne 
671724708316839936	MetroFocus	jurors in silver trial discuss how they reached a guilty verdict 
671716574378770433	RafaelDeMussa	but when they learned that mr. silver had state grant money sent dr. taub’s way , said bianca maynard , another ... 
671696915176816642	dbrovman	“ just because it goes on doesn’t make it right . ” - a juror on the case . another indictment of albany . 
671680167119626241	TeriKWeaver	juror no . 6 in silver's trial sums up albany : “ just because it goes on , ” she added , “ doesn’t make it right . ” 
671624682492178433	KcAashik	as trial began , a ' humble ' assemblyman didn't appear guilty … 
671584267021983744	mimi_gant	the new york times : several jurors were initially skeptical of the government’s case . 
671554589766909952	benjaminodey1	as trial began , a ' humble ' assemblyman didn't appear guilty to … 
671553624275841024	rich1	silver omitting goldberg & iryami from his financial disclosure form led last jury to convict . let that be a lesson ! 

http://www.nytimes.com/2015/12/03/world/europe/avenue-spared-in-paris-attacks-embodies-what-terrorists-targeted.html
672023592465539072	TheNutellaMan	this paris avenue embodies exactly what the terrorists targeted 
		avenue spared in paris attacks embodies what terrorists targeted 
672023652204941312	Mosharraf0129	nytimes : this paris avenue embodies exactly what the terrorists targeted 
672019635479388160	jmouryl	critic's notebook : avenue spared in paris attacks embodies what … 
		rue jean-pierre timbaud , just around the corner from the bataclan theater , reflects the civic pluralism and street life that the attackers loathed and feared . 

http://www.nytimes.com/2015/12/01/world/asia/narendra-modi-could-make-or-break-obamas-climate-legacy.html
671986959825375232	ElizabethJWilso	narendra modi could make or break obama’s climate legacy 
671985515546042368	AzadehArdakani	india & us embody tension bet developed & developing nations in need of billions for transition to cleaner energy : 
671919310714085376	SebastienNantes	india emerges as key player in paris talks 
671906676321177601	WorldResources	reading - narendra modi could make or break obama’s legacy ( 
671841017696505859	bentzminger	narendra modi could make or break climate legacy via 
671832297981743104	DonnaPrassede	india ' s xenophobic government against the world 
671813376268464132	anubhav_ism	idn't find anyone better in india than jairam ramesh to talk on india's stand on the issue ? 
671797200213688322	cdbrown91	signficant domestic political pressure in india -> brinksmanship by modi government . 
671780230952955904	aamanlamba	don't fall for the modi enviro-wave , " the proposal would also see india’s carbon pollution triple in coming decades " 
671772597982367745	anilsinghctc	rt modi could make or break obama’s climate legacy can pm move his bureaucrcy to make meaningfl conc … 
671772292465078272	schlosserjk	modi could make or break obama’s climate legacy can pm move his bureaucrcy to make meaningfl concessions in 
671758884458135552	JangchubZangmo	rt modi's green legacy ? india was the last major economy to submit a domestic climate change policy plan ahead of https … 
671757544264634368	ramniranjan187	india's pm narendra modi could make or break president obama’s " climate legacy " 
671754690644824064	ce301005	rt narendra modi could make or break obama’s legacy : fm 
671750357672849408	eboldy	“ they deserve to [ … ] receive billions of dollars to make the transition to cleaner energy . ” uh . not how it works …? 
671749623111811072	BCISLEMAN	india is far more at risk from global warming & us neanderthals will use india's attitude to justify doing nothing . 
671746353349939201	Bh_Chandra	1/2 : highly patronizing article . makes it sound has responsibility towards climate legacy 
671745269545967616	_The_Diplomat_	" the more criticism india comes under [ ... ] , the more applause javadekar will get in parliament & elsewhere ” 
671717960986292224	CarnegieSAsia	. quotes ashley tellis on what to expect from at the paris climate talks 
671735757774692353	INYTEnergy	largest public-private coalition for funding renewable energy announced at 
671719312730759169	Krimaps	modi make or break obama’s climate legacy good intention but india needs state of emergency to tackle this issue 
671714147860652032	india_china	more thoughts from the nyt on us-india cliamte relations . 
671714103979737088	shrinivasdes	under pressure from tata , mahindra & ambani hope modi not 2 compromise national interest over companies biz 

http://www.nytimes.com/slideshow/2015/11/30/blogs/pictures-of-the-day-france-and-elsewhere/s/20151130POD-slide-UCQ5.html
671509249328025600	Loveley_Eyes	photos of the day 
671446478896955397	Women2Date	pictures of the day : 

http://www.nytimes.com/2015/12/03/fashion/the-2016-pirelli-calendar-may-signal-a-cultural-shift.html
671938019314790400	bel_brito	- the 2016 pirelli calendar may signal a cultural shift 
672028383409283072	riccardo_c	the 2016 may signal a cultural shift 
672028266388135936	riccardo_c	to say that women like as mesdames hobson , gund and lebowitz are not its usual subjects is something of an ... 
672021235686121472	stefzadravec	the times they are a changing ' 2016 pirelli calendar may signal a cultural shift 
672009673541705733	Papa_Scot	rt “ i thought it was a joke . " fran lebowitz , ( pirelli ) calendar girl : 
672009553886748672	samjoecurry	some good news to work towards counteracting ( what i expect to be the bad ) . oh world , you're a strange beast 🤔🙄 
672003986287755264	dibt	rt well done 2016 “ real women ” calendar . features stomach rolls & muscle . … 
672002158737424384	AmandaBunnPR	round of applause to for their 2016 calendar . 
671995647176912896	McCannPR	the new calendar has certainly got the media talking : 
671992163723554818	ArtOfTheMystic	stunning photo in the center : serena williams 
671991328817958912	damienbredberg	cultural shift my ass . just because lebowitz did this , doesn't mean she's the first . in fact , the results are ... 
671987819787771904	typopartner	the 2016 pirelli calendar by annie leibovitz 
671981597164486656	schnuhz	rt i love the new pirelli calendar ; it's finally time that women get celebrated for achievements that aren't beauty . https :/ … 
671978337720360960	aspenaman	everyday sheroes : thanks pirelli ! calendar signals cultural shift ? 
671973437359788032	Phrannest	seeing this one go around . . . great photos ! leibovitz's artistry is on display . a lot of attention is being paid ... 
671973107763183617	simona_harrison	rt fully clad women are the pin-ups in the 2016 pirelli calendar . chosen for their achievements , not their bodies . … 
671970570423148545	AnneMartens	thank you from denmark . from a woman . and a mother to a little girl . 
671925603629727744	suzannephoto	doing something new for their calendar . finally . 
671904829359394816	jonscott9	rt one of the exceptions to the fully-dressed rule in 2016 pirelli calendar is serena williams ht … 
671902846208630784	mikesmcconkey	rt beauty redefined : the 2016 calendar may signal a cultural shift 
671899732860604417	satinandsnow	“ we are in the midst of a perfect storm of cultural icons and politics and hollywood , ” ms. zimmerman said .... 
671898425525424130	JoRoan	" i do not associate tires for my tesla w/ amy schumer in any way ” - pirelli calendar why do i read comments !?? 

http://www.nytimes.com/2015/12/01/nytnow/latest-news-paris-climate-talks-freddie-gray.html
671750961946324992	CraveForNews	morning briefing : here's what you need to know to start your day 
671712928647770112	SiddiqueSeema	your tuesday briefing 
671771229670547456	witinradio	rt sm : morning briefing : here's what you need to know to start your day 
671764690842853376	cbblaydes	today's update from the paris climate talks : 
671732154779340800	JasonLesage	your tuesday briefing , via 
671718493033766912	fabrianauz	rt your tuesday briefing : paris , xi jinping , donald trump 

http://www.nytimes.com/politics/first-draft/2015/12/01/rudolph-giuliani-cites-911-celebrations-but-disputes-donald-trump/
671762527961882625	samuelldrew	" rudolph giuliani cites 9/11 celebrations , but disputes donald trump " 
671947950013046785	shawnpaullopez1	rudolph giuliani cites 9/11 celebrations , but disputes donald trump via 
671926754374721536	BarbaraGlassman	rt " muslims in nj celebrated the towers falling " has become the new " jews didn't go to work on 9/11 " : 
671900610111782912	DonaldTrumpshow	rudolph giuliani cites 9/11 celebrations , but disputes donald trump - new york times 
671846937935544320	andreasharsono	nyt : rudolph giuliani cites 9/11 celebrations , around 40 people , but disputes donald trump 
671810127708729344	MPactMedia	via rudolph cites 9/11 celebrations , but disputes 
671798443682242565	VerbaAqua14	giuliani cites 9/11 celebrations , but disputestrump " 911 ! thufferin ' thuccotash ! 911 ! said what ? 911 ! " 
671763013507092480	barrington_jake	giuliani partly corroborates trump's claim , but also disputes the number . via 
671758085451460608	75thCXO	nytimes : rudolph giuliani said there were 9/11 celebrations , but that donald trump exaggerated . 
671757166857068544	davidjoachim	even rudy giuliani seems to dispute trump's claim of " thousands " taking part in 9/11 celebrations 
671755206602989568	jmouryl	first draft : rudolph giuliani cites 9/11 celebrations , but disputes … 
671745964059725825	jalejandro3107	first draft : rudolph giuliani cites 9/11 celebrations , but disputes donald tru ... 

http://www.nytimes.com/2015/12/02/us/politics/wary-of-donald-trump-gop-leaders-are-caught-in-a-standoff.html
672030509526999041	Yeeeeeech	broad coalition of voters reject gop elite " business as usual " , support trump . gop bs team panics on losing control . 
672030442388783104	rjlemaster	- if the listened to voters and not pushed romney ii as the “ establishment ” candidate , they might not be here 
672023349996974081	wessmith123	uh-oh ! repubs can't get frankenstein back in the box ! you lose - dems keep the wh ! 
672016877531455488	PrimoHistory	wary of donald trump , g.o.p. leaders are caught in a standoff 
672028940651794432	gedownie	wary of donald trump , g.o.p. leaders are caught in a standoff - the nytimes : 
672027849763758080	JulienGathelier	the has come back to bite the republicans " wary of leaders are caught in a standoff " 
671993013904793600	rosierifka	gop establishment hates trump : gop conservatives hate trump : 
672027621060943874	shelbydoll1	rt if trump wins : lose their gravy train & donors lose their power & influence 
672025215988273152	GinsburgJobs	panic as g.o.p. realizes isn’t going away 
672022622083903488	JCSKDK	graham : trump is a " xenophobic , race-baiting , religious bigot " wary of trump , gop leaders are caught in a standoff 
672021093645869057	athst	if you're a democrat , why you should be doing everything in your power to make sure donald trump gets nominated 
672018244966969344	realsaramerica	21st c case study in cowardice fr party of chickenhawks >> wary of donald trump , g.o.p. leaders caught in a standoff 
672014656836231168	Margee11	rt trump unstoppable : panic and paralysis , as realizes is not fading … 
672014502397898752	marcellebon	“ if he carries this message into the general election in ohio , we’ll hand this election to hillary clinton ” 
672009887510044672	markroy53	the new york times politics reports 
672009280116105216	allen_goodling	rt panic , and paralysis , as gop realizes trump isn't fading ... 
672007336249135104	PINOROMBI	top republicans worries 
672002965494996992	yelli1972	rt fingers crossed . “ .. if donald trump is the nominee , we’re going to get wiped out , ” a prominent rep senator said … 
672001429662515200	andrephilly	wary of g.o.p. leaders are caught in a standoff 
671998413504950272	redwhitetrump	" he said ((((( they )))) had expressed alarm at mr. trump’s durability and asked what could be done . " 
671997751236935680	DanielMHoltz	gop leaders wary of trump . taking him on is risky . nominating him gives election to and senate to 
671995415944962049	JoeMadore6	rt courage is the senator attacking trump on background 
671994138288627712	davemasters	wary of donald trump , the republican establishment is caught in a standoff . 
671983589244977152	grimes_ce	l graham : ' if you’re a xenophobic , race-baiting , religious bigot , you’re going to have a hard time being president ' 
671976031130157057	DocHubee	panic as realizes isn’t going away 
671979593729900544	armoudian	wary of donald g.o.p. leaders are caught in a standoff , via 
671976512426504193	neildrewitt	if gop nominate trump , senators portman and ayotte can't outrun hillary clinton , and there goes the senate 
671974752500752384	neildrewitt	donald trump is viewed unfavorably by 64% of women and 74% of nonwhite voters , according to a recent poll 
671974182813630464	neildrewitt	many republican strategists and donors fear that mr. trump’s nomination would lead to an electoral wipeout 
671970659577171968	romopar	rt hypocrite club for growth , a conservative group , ran a short-lived & unsuccessful ad campaign against trump in iowa … 

http://www.nytimes.com/2015/12/02/us/robert-dear-planned-parenthood-shooting.html
672030020160868353	ABSYNWA	rt planned parenthood gunman profiled . religious , apocalyptic , sinful . sounds familiar : … 
672029648742674432	boldandworthy	[ tw-dv ] robert lewis dear was a womanizing , woman beater , and rapist — who loved god 
672004602363973632	Bob_Kristy_	. for robert dear , religion and rage before planned parenthood attack 
672021836683677696	SlyMagellen	rt who's surprised ? religion + rage seems ripe for the making of a religious right , you own it . it's yours https://… 
672020970824056833	newsgirl123456	rt the planned parenthood shooter's history of domestic violence indicates that he's been a terrorist for a while now . https :/ … 
672017053163753472	haroldlgardner	for and before attack 
672015455142338560	ABQDOGMOM	rt like so many other mass shooters , col . killer is a christian : why do we keep letting these people i … 
672015365480648705	ABQDOGMOM	rt robert dear : religion & rage before attack evangelical domestic abuser , supporter of murdering … 
672013711888932868	ABQDOGMOM	rt terrorist who attacked planned parenthood is " extremely evangelistic " christian doing " god’s work . " who would guess ? htt … 
672008866226302977	Botrublu	rt the definitive deep dive on the man accused in the planned parenthood attack , written by https://… 
672008690887708672	Botrublu	rt special report : the suspect in the colorado rampage was a recluse who longed for women , and mixed religion with rage … 
672005283506450432	shereedre10	robert dear , religion & rage b4 pp attack angry white christian terrorists more dangerous than syrian refugees 
671996622323261440	ArkansasWatch	for religion and rage before planned parenthood attack 
671987920123912195	MacInnesJoanne	for robert dear , religion & rage . hey , i demand to know whether christians sympathise with this terrorist !!! 
671991247293325312	fiw8	why is he not called ?! for robert dear , and rage before attack 
671990674070355968	scotti2k	another narcissist killer acting on his pathetic delusions . “ he believed he was doing god’s will . " 
671985596139638785	FightinEJR	why we need better in this country as well as a lot less 
671981283476574208	rockyjimbeam	rt surprise surprise is a serial abuser of women , generally violent , hypocritical , moralizing christian . https : … 
671981270373658625	alanearly	he's anti choice and religious . 
671981173518827520	alanearly	here's the new york times on dear's religious , anti choice beliefs . 
671967324518281216	BroCoachella	i just gave you proof . here it is again if you were raised in trailer park & can't read , not my problem . 
671964258410741760	BroCoachella	read the new york times . 
671964123593203713	BroCoachella	read the ny times , learn the truth about robert dear ! 
671962255618007040	BroCoachella	sorry , bitch , he is 100% a christian conservative . read here and weep 
671960661967028224	ibarra_lisa	rt more reporting , from nyt , that suggests robert dear a rightwing extremist whose attack likely politically motivated https … 
